id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-686330,2020-07-30,000001,Vente,175950,60,,RUE ERNEST RENAN,0500,69200,69259,Vénissieux,69,,,69259000AB0123,,,192,,89,67.08,,,,,,,2,2,Appartement,66,3,,,,,,4.862507,45.725861
2020-686330,2020-07-30,000001,Vente,175950,78,T,AV FRANCIS DE PRESSENSE,0577,69200,69259,Vénissieux,69,,,69259000AB0123,,,249,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.862507,45.725861
2020-686331,2020-07-31,000001,Vente,2184000,274,B,AV JEAN JAURES,0610,69150,69275,Décines-Charpieu,69,,,69275000AT0181,,,,,,,,,,,,,0,2,Appartement,50,2,S,sols,,,945,4.963777,45.770747
2020-686332,2020-08-07,000001,Vente,303000,34,,ALL DU GROUBON,0087,69780,69298,Toussieu,69,,,69298000AO0105,,,19,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.972794,45.654029
2020-686332,2020-08-07,000001,Vente,303000,38,,ALL DU GROUBON,0087,69780,69298,Toussieu,69,,,69298000AO0105,,,12,84.55,,,,,,,,,1,2,Appartement,84,4,,,,,,4.972794,45.654029
2020-686332,2020-08-07,000001,Vente,303000,34,,ALL DU GROUBON,0087,69780,69298,Toussieu,69,,,69298000AO0105,,,36,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.972794,45.654029
2020-686333,2020-08-06,000001,Vente en l'état futur d'achèvement,338000,71,,RUE GREUZE,1890,69100,69266,Villeurbanne,69,,,69266000AT0005,,,132,,,,,,,,,,1,,,,,,,,,,4.893909,45.768793
2020-686333,2020-08-06,000001,Vente en l'état futur d'achèvement,338000,71,,RUE GREUZE,1890,69100,69266,Villeurbanne,69,,,69266000AT0005,,,154,,,,,,,,,,1,,,,,,,,,,4.893909,45.768793
2020-686334,2020-08-17,000001,Vente en l'état futur d'achèvement,258980,33,,RUE CITE DE L ABBE PIERRE,0310,69800,69290,Saint-Priest,69,,,69290000DH0303,,,19,,,,,,,,,,1,,,,,,,,,,4.931832,45.69473
2020-686334,2020-08-17,000001,Vente en l'état futur d'achèvement,258980,33,,RUE CITE DE L ABBE PIERRE,0310,69800,69290,Saint-Priest,69,,,69290000DH0303,,,126,,,,,,,,,,1,,,,,,,,,,4.931832,45.69473
2020-686334,2020-08-17,000001,Vente en l'état futur d'achèvement,258980,33,,RUE CITE DE L ABBE PIERRE,0310,69800,69290,Saint-Priest,69,,,69290000DH0303,,,73,,,,,,,,,,1,,,,,,,,,,4.931832,45.69473
2020-686335,2020-08-07,000001,Vente,157654,18,,AV JEAN JAURES,0328,69780,69283,Mions,69,,,69283000AS0304,,,18,43.23,,,,,,,,,1,2,Appartement,43,2,,,,,,4.954189,45.664579
2020-686335,2020-08-07,000001,Vente,157654,18,,AV JEAN JAURES,0328,69780,69283,Mions,69,,,69283000AS0304,,,39,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.954189,45.664579
2020-686336,2020-08-04,000001,Vente,424800,28,B,CRS DE LA REPUBLIQUE,3505,69100,69266,Villeurbanne,69,,,69266000BM0179,,,33,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.873535,45.768472
2020-686336,2020-08-04,000001,Vente,424800,28,,CRS DE LA REPUBLIQUE,3505,69100,69266,Villeurbanne,69,,,69266000BM0179,,,66,,93,103.58,,,,,,,2,2,Appartement,102,4,,,,,,4.873535,45.768472
